Hotel,Is Canceled,Lead Time,arrival full date,Arrival Date Year,Arrival Date Month,Arrival Date Week Number,Arrival Date Day of Month,Stays in Weekend nights,Stays in week nights,stays total nights,Adults,Children,Babies,Meal,Country,Reserved Room Type,Assigned room type,customer type,Reservation Status,Reservation status_date
Resort Hotel,1,130,07/01/2017,2017,July,26,1,2,1,3,2,2.0,0,BB,PRT,C,C,Transient-Party,Canceled,03/10/2017
Resort Hotel,1,130,07/01/2017,2017,July,26,1,2,1,3,2,0.0,0,BB,PRT,D,D,Transient-Party,Canceled,03/10/2017
Resort Hotel,1,303,07/01/2017,2017,July,26,1,2,1,3,2,0.0,0,BB,SWE,A,A,Transient,Canceled,09/03/2016
Resort Hotel,1,59,07/01/2017,2017,July,26,1,2,1,3,2,2.0,0,BB,USA,G,G,Transient,Canceled,05/06/2017
Resort Hotel,1,303,07/01/2017,2017,July,26,1,2,1,3,2,0.0,0,BB,SWE,A,A,Transient,Canceled,09/03/2016
Resort Hotel,1,130,07/01/2017,2017,July,26,1,2,1,3,2,0.0,0,BB,PRT,D,D,Transient-Party,Canceled,03/10/2017
Resort Hotel,1,130,07/01/2017,2017,July,26,1,2,1,3,2,0.0,0,BB,PRT,D,D,Transient-Party,Canceled,03/10/2017
Resort Hotel,1,110,07/01/2017,2017,July,26,1,2,2,4,2,0.0,0,BB,CN,D,D,Transient,Canceled,03/19/2017
Resort Hotel,1,224,07/01/2017,2017,July,26,1,2,2,4,3,1.0,0,BB,POL,H,H,Transient,Canceled,02/03/2017
Resort Hotel,1,110,07/01/2017,2017,July,26,1,2,2,4,2,0.0,0,BB,CN,D,D,Transient,Canceled,03/19/2017
Resort Hotel,1,127,07/01/2017,2017,July,26,1,2,2,4,2,2.0,0,BB,ESP,C,C,Transient,Canceled,03/16/2017
Resort Hotel,1,146,07/01/2017,2017,July,26,1,2,3,5,3,0.0,0,HB,PRT,D,D,Transient,Canceled,02/06/2017
Resort Hotel,1,145,07/01/2017,2017,July,26,1,2,3,5,2,0.0,0,HB,PRT,E,E,Transient,Canceled,06/26/2017
Resort Hotel,1,218,07/01/2017,2017,July,26,1,2,3,5,3,0.0,0,HB,PRT,A,A,Transient,Canceled,06/27/2017
Resort Hotel,1,305,07/01/2017,2017,July,26,1,2,4,6,2,1.0,0,BB,AUS,A,A,Transient,Canceled,09/04/2016
Resort Hotel,1,198,07/01/2017,2017,July,26,1,2,4,6,2,0.0,0,BB,ESP,E,E,Transient,Canceled,12/17/2016
Resort Hotel,1,197,07/01/2017,2017,July,26,1,2,4,6,2,0.0,0,HB,PRT,E,E,Transient,Canceled,01/06/2017
Resort Hotel,1,305,07/01/2017,2017,July,26,1,2,4,6,3,0.0,0,BB,AUS,A,A,Transient,Canceled,09/04/2016
Resort Hotel,1,145,07/01/2017,2017,July,26,1,2,3,5,2,1.0,0,HB,PRT,E,E,Transient,Canceled,06/26/2017
Resort Hotel,1,146,07/01/2017,2017,July,26,1,2,3,5,2,1.0,0,HB,PRT,H,H,Transient,Canceled,02/06/2017
Resort Hotel,1,305,07/01/2017,2017,July,26,1,2,4,6,2,0.0,0,BB,AUS,H,H,Transient,Canceled,09/04/2016
Resort Hotel,1,164,07/01/2017,2017,July,26,1,2,5,7,2,1.0,1,HB,PRT,C,C,Transient,Canceled,01/27/2017
Resort Hotel,1,259,07/01/2017,2017,July,26,1,2,5,7,2,1.0,0,HB,PRT,D,D,Transient,Canceled,10/16/2016
Resort Hotel,1,59,07/01/2017,2017,July,26,1,2,5,7,2,1.0,0,HB,PRT,A,A,Transient,Canceled,05/03/2017
Resort Hotel,1,334,07/01/2017,2017,July,26,1,2,5,7,2,0.0,0,BB,IRL,D,D,Transient-Party,Canceled,03/06/2017
Resort Hotel,1,155,07/01/2017,2017,July,26,1,2,5,7,2,1.0,1,HB,PRT,C,C,Transient,Canceled,05/17/2017
Resort Hotel,1,117,07/01/2017,2017,July,26,1,2,5,7,2,1.0,0,HB,PRT,D,D,Transient,Canceled,03/07/2017
Resort Hotel,1,209,07/01/2017,2017,July,26,1,2,5,7,2,0.0,0,BB,ESP,A,A,Transient,Canceled,12/11/2016
Resort Hotel,1,334,07/01/2017,2017,July,26,1,2,5,7,2,0.0,0,BB,IRL,D,D,Transient-Party,Canceled,08/15/2016
Resort Hotel,1,243,07/01/2017,2017,July,26,1,2,6,8,2,0.0,0,HB,PRT,A,A,Transient,Canceled,05/02/2017
Resort Hotel,1,303,07/01/2017,2017,July,26,1,3,6,9,2,0.0,0,BB,IRL,D,D,Transient,Canceled,01/03/2017
Resort Hotel,1,184,07/01/2017,2017,July,26,1,4,6,10,2,0.0,0,BB,PRT,A,A,Transient,Canceled,01/09/2017
Resort Hotel,1,52,07/01/2017,2017,July,26,1,4,6,10,2,0.0,0,BB,PRT,D,D,Transient,Canceled,05/12/2017
Resort Hotel,1,141,07/01/2017,2017,July,26,1,4,7,11,2,0.0,0,BB,BRA,D,D,Transient,Canceled,02/18/2017
Resort Hotel,1,325,07/01/2017,2017,July,26,1,4,7,11,2,0.0,0,HB,RUS,A,A,Transient,Canceled,10/27/2016
Resort Hotel,1,306,07/01/2017,2017,July,26,1,4,10,14,2,0.0,0,HB,ITA,A,A,Transient,Canceled,01/08/2017
Resort Hotel,1,248,07/01/2017,2017,July,26,1,4,10,14,2,0.0,0,BB,PRT,D,D,Contract,Canceled,11/01/2016
Resort Hotel,1,183,07/01/2017,2017,July,26,1,4,10,14,2,2.0,0,BB,FRA,G,G,Transient,Canceled,01/03/2017
Resort Hotel,1,110,07/02/2017,2017,July,27,2,2,0,2,2,0.0,0,BB,COL,E,E,Transient,Canceled,06/18/2017
Resort Hotel,1,109,07/02/2017,2017,July,27,2,2,1,3,2,0.0,0,BB,PRT,F,F,Transient,Canceled,06/20/2017
Resort Hotel,1,171,07/02/2017,2017,July,27,2,2,1,3,2,2.0,0,BB,USA,G,G,Transient,Canceled,01/12/2017
Resort Hotel,1,104,07/02/2017,2017,July,27,2,2,1,3,1,0.0,0,BB,PRT,D,D,Transient,Canceled,05/20/2017
Resort Hotel,1,146,07/02/2017,2017,July,27,2,2,2,4,2,0.0,0,BB,PRT,A,A,Transient,Canceled,02/06/2017
Resort Hotel,1,159,07/02/2017,2017,July,27,2,2,2,4,2,0.0,0,BB,PRT,A,A,Transient,Canceled,01/24/2017
Resort Hotel,1,95,07/02/2017,2017,July,27,2,2,2,4,2,2.0,0,BB,ESP,C,C,Transient,Canceled,05/10/2017
Resort Hotel,1,143,07/02/2017,2017,July,27,2,2,3,5,2,0.0,0,BB,ESP,D,D,Transient,Canceled,02/10/2017
Resort Hotel,1,100,07/02/2017,2017,July,27,2,2,4,6,1,2.0,0,BB,BRA,C,C,Transient,Canceled,03/26/2017
Resort Hotel,1,110,07/02/2017,2017,July,27,2,2,5,7,2,2.0,0,HB,ESP,C,C,Transient,Canceled,03/14/2017
Resort Hotel,1,219,07/02/2017,2017,July,27,2,2,5,7,2,0.0,0,HB,GBR,A,A,Transient,Canceled,03/13/2017
Resort Hotel,1,268,07/02/2017,2017,July,27,2,2,5,7,2,0.0,0,BB,GBR,E,E,Transient,Canceled,10/10/2016
Resort Hotel,1,177,07/02/2017,2017,July,27,2,2,5,7,2,2.0,0,BB,BEL,G,G,Transient,Canceled,01/11/2017
Resort Hotel,1,259,07/02/2017,2017,July,27,2,2,5,7,2,0.0,0,HB,PRT,E,E,Transient,Canceled,10/16/2016
Resort Hotel,1,280,07/02/2017,2017,July,27,2,2,5,7,2,2.0,0,BB,GBR,G,G,Transient,Canceled,10/06/2016
Resort Hotel,1,57,07/02/2017,2017,July,27,2,2,5,7,2,2.0,0,HB,ESP,G,G,Transient,Canceled,05/06/2017
Resort Hotel,1,174,07/02/2017,2017,July,27,2,2,5,7,2,2.0,0,BB,FRA,G,G,Transient,Canceled,03/21/2017
Resort Hotel,1,188,07/02/2017,2017,July,27,2,4,5,9,2,2.0,0,BB,PRT,G,G,Transient,Canceled,05/10/2017
Resort Hotel,1,320,07/02/2017,2017,July,27,2,4,7,11,2,0.0,0,HB,RUS,D,D,Transient,Canceled,10/27/2016
Resort Hotel,1,275,07/02/2017,2017,July,27,2,4,8,12,2,1.0,0,HB,PRT,A,A,Transient,Canceled,01/17/2017
Resort Hotel,1,179,07/02/2017,2017,July,27,2,4,8,12,2,0.0,0,BB,LTU,A,A,Transient,Canceled,01/13/2017
Resort Hotel,1,53,07/02/2017,2017,July,27,2,4,8,12,2,0.0,0,BB,PRT,D,D,Transient,Canceled,05/12/2017
Resort Hotel,1,53,07/02/2017,2017,July,27,2,4,10,14,2,0.0,0,HB,PRT,D,D,Transient,Canceled,06/08/2017
Resort Hotel,1,133,07/03/2017,2017,July,27,3,1,1,2,2,0.0,0,BB,USA,A,A,Transient,Canceled,05/08/2017
Resort Hotel,1,102,07/03/2017,2017,July,27,3,1,3,4,2,2.0,0,HB,PRT,G,G,Transient,Canceled,04/17/2017
Resort Hotel,1,159,07/03/2017,2017,July,27,3,1,3,4,2,0.0,0,HB,PRT,A,A,Transient,Canceled,05/16/2017
Resort Hotel,1,103,07/03/2017,2017,July,27,3,1,3,4,2,0.0,0,BB,ESP,A,A,Transient,Canceled,04/23/2017
Resort Hotel,1,144,07/03/2017,2017,July,27,3,1,3,4,2,0.0,0,BB,PRT,A,A,Transient,Canceled,02/09/2017
Resort Hotel,1,178,07/03/2017,2017,July,27,3,1,5,6,2,0.0,0,HB,PRT,D,D,Transient,Canceled,03/19/2017
Resort Hotel,1,146,07/03/2017,2017,July,27,3,1,5,6,2,2.0,0,HB,ESP,C,C,Transient,Canceled,02/16/2017
Resort Hotel,1,150,07/03/2017,2017,July,27,3,2,5,7,2,2.0,0,HB,ROU,C,C,Transient,Canceled,04/23/2017
Resort Hotel,1,157,07/03/2017,2017,July,27,3,2,5,7,2,0.0,0,BB,PRT,C,C,Transient,Canceled,01/27/2017
Resort Hotel,1,171,07/03/2017,2017,July,27,3,2,5,7,2,0.0,0,HB,IRL,A,A,Transient,Canceled,04/06/2017
Resort Hotel,1,190,07/03/2017,2017,July,27,3,2,5,7,2,0.0,0,HB,PRT,A,A,Transient,Canceled,06/21/2017
Resort Hotel,1,169,07/03/2017,2017,July,27,3,2,5,7,2,1.0,0,HB,BEL,D,D,Transient,Canceled,01/15/2017
Resort Hotel,1,262,07/03/2017,2017,July,27,3,2,5,7,2,0.0,0,HB,CN,D,D,Transient,Canceled,12/07/2016
Resort Hotel,1,280,07/03/2017,2017,July,27,3,2,5,7,2,0.0,0,HB,PRT,D,D,Contract,Canceled,02/27/2017
Resort Hotel,1,54,07/03/2017,2017,July,27,3,2,5,7,2,0.0,0,BB,PRT,D,D,Transient,Canceled,05/12/2017
Resort Hotel,1,186,07/03/2017,2017,July,27,3,2,5,7,3,1.0,0,HB,PRT,H,H,Transient,Canceled,01/22/2017
