hotel,is_canceled,lead_time,arrival_full_date,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,stays_total_nights,adults,children,babies,meal,country,reserved_room_type,assigned_room_type,customer_type,reservation_status,reservation_status_date
Resort Hotel,1,130,42917,2017,July,26,1,2,1,3,2,2.0,0,BB,PRT,C,C,Transient-Party,Canceled,42804
Resort Hotel,1,130,42917,2017,July,26,1,2,1,3,2,0.0,0,BB,PRT,D,D,Transient-Party,Canceled,42804
Resort Hotel,1,303,42917,2017,July,26,1,2,1,3,2,0.0,0,BB,SWE,A,A,Transient,Canceled,42616
Resort Hotel,1,59,42917,2017,July,26,1,2,1,3,2,2.0,0,BB,USA,G,G,Transient,Canceled,42861
Resort Hotel,1,303,42917,2017,July,26,1,2,1,3,2,0.0,0,BB,SWE,A,A,Transient,Canceled,42616
Resort Hotel,1,130,42917,2017,July,26,1,2,1,3,2,0.0,0,BB,PRT,D,D,Transient-Party,Canceled,42804
Resort Hotel,1,130,42917,2017,July,26,1,2,1,3,2,0.0,0,BB,PRT,D,D,Transient-Party,Canceled,42804
Resort Hotel,1,110,42917,2017,July,26,1,2,2,4,2,0.0,0,BB,CN,D,D,Transient,Canceled,42813
Resort Hotel,1,224,42917,2017,July,26,1,2,2,4,3,1.0,0,BB,POL,H,H,Transient,Canceled,42769
Resort Hotel,1,110,42917,2017,July,26,1,2,2,4,2,0.0,0,BB,CN,D,D,Transient,Canceled,42813
Resort Hotel,1,127,42917,2017,July,26,1,2,2,4,2,2.0,0,BB,ESP,C,C,Transient,Canceled,42810
Resort Hotel,1,146,42917,2017,July,26,1,2,3,5,3,0.0,0,HB,PRT,D,D,Transient,Canceled,42772
Resort Hotel,1,145,42917,2017,July,26,1,2,3,5,2,0.0,0,HB,PRT,E,E,Transient,Canceled,42912
Resort Hotel,1,218,42917,2017,July,26,1,2,3,5,3,0.0,0,HB,PRT,A,A,Transient,Canceled,42913
Resort Hotel,1,305,42917,2017,July,26,1,2,4,6,2,1.0,0,BB,AUS,A,A,Transient,Canceled,42617
Resort Hotel,1,198,42917,2017,July,26,1,2,4,6,2,0.0,0,BB,ESP,E,E,Transient,Canceled,42721
Resort Hotel,1,197,42917,2017,July,26,1,2,4,6,2,0.0,0,HB,PRT,E,E,Transient,Canceled,42741
Resort Hotel,1,305,42917,2017,July,26,1,2,4,6,3,0.0,0,BB,AUS,A,A,Transient,Canceled,42617
Resort Hotel,1,145,42917,2017,July,26,1,2,3,5,2,1.0,0,HB,PRT,E,E,Transient,Canceled,42912
Resort Hotel,1,146,42917,2017,July,26,1,2,3,5,2,1.0,0,HB,PRT,H,H,Transient,Canceled,42772
Resort Hotel,1,305,42917,2017,July,26,1,2,4,6,2,0.0,0,BB,AUS,H,H,Transient,Canceled,42617
Resort Hotel,1,164,42917,2017,July,26,1,2,5,7,2,1.0,1,HB,PRT,C,C,Transient,Canceled,42762
Resort Hotel,1,259,42917,2017,July,26,1,2,5,7,2,1.0,0,HB,PRT,D,D,Transient,Canceled,42659
Resort Hotel,1,59,42917,2017,July,26,1,2,5,7,2,1.0,0,HB,PRT,A,A,Transient,Canceled,42858
Resort Hotel,1,334,42917,2017,July,26,1,2,5,7,2,0.0,0,BB,IRL,D,D,Transient-Party,Canceled,42800
Resort Hotel,1,155,42917,2017,July,26,1,2,5,7,2,1.0,1,HB,PRT,C,C,Transient,Canceled,42872
Resort Hotel,1,117,42917,2017,July,26,1,2,5,7,2,1.0,0,HB,PRT,D,D,Transient,Canceled,42801
Resort Hotel,1,209,42917,2017,July,26,1,2,5,7,2,0.0,0,BB,ESP,A,A,Transient,Canceled,42715
Resort Hotel,1,334,42917,2017,July,26,1,2,5,7,2,0.0,0,BB,IRL,D,D,Transient-Party,Canceled,42597
Resort Hotel,1,243,42917,2017,July,26,1,2,6,8,2,0.0,0,HB,PRT,A,A,Transient,Canceled,42857
Resort Hotel,1,303,42917,2017,July,26,1,3,6,9,2,0.0,0,BB,IRL,D,D,Transient,Canceled,42738
Resort Hotel,1,184,42917,2017,July,26,1,4,6,10,2,0.0,0,BB,PRT,A,A,Transient,Canceled,42744
Resort Hotel,1,52,42917,2017,July,26,1,4,6,10,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42867
Resort Hotel,1,141,42917,2017,July,26,1,4,7,11,2,0.0,0,BB,BRA,D,D,Transient,Canceled,42784
Resort Hotel,1,325,42917,2017,July,26,1,4,7,11,2,0.0,0,HB,RUS,A,A,Transient,Canceled,42670
Resort Hotel,1,306,42917,2017,July,26,1,4,10,14,2,0.0,0,HB,ITA,A,A,Transient,Canceled,42743
Resort Hotel,1,248,42917,2017,July,26,1,4,10,14,2,0.0,0,BB,PRT,D,D,Contract,Canceled,42675
Resort Hotel,1,183,42917,2017,July,26,1,4,10,14,2,2.0,0,BB,FRA,G,G,Transient,Canceled,42738
Resort Hotel,1,110,42918,2017,July,27,2,2,0,2,2,0.0,0,BB,COL,E,E,Transient,Canceled,42904
Resort Hotel,1,109,42918,2017,July,27,2,2,1,3,2,0.0,0,BB,PRT,F,F,Transient,Canceled,42906
Resort Hotel,1,171,42918,2017,July,27,2,2,1,3,2,2.0,0,BB,USA,G,G,Transient,Canceled,42747
Resort Hotel,1,104,42918,2017,July,27,2,2,1,3,1,0.0,0,BB,PRT,D,D,Transient,Canceled,42875
Resort Hotel,1,146,42918,2017,July,27,2,2,2,4,2,0.0,0,BB,PRT,A,A,Transient,Canceled,42772
Resort Hotel,1,159,42918,2017,July,27,2,2,2,4,2,0.0,0,BB,PRT,A,A,Transient,Canceled,42759
Resort Hotel,1,95,42918,2017,July,27,2,2,2,4,2,2.0,0,BB,ESP,C,C,Transient,Canceled,42865
Resort Hotel,1,143,42918,2017,July,27,2,2,3,5,2,0.0,0,BB,ESP,D,D,Transient,Canceled,42776
Resort Hotel,1,100,42918,2017,July,27,2,2,4,6,1,2.0,0,BB,BRA,C,C,Transient,Canceled,42820
Resort Hotel,1,110,42918,2017,July,27,2,2,5,7,2,2.0,0,HB,ESP,C,C,Transient,Canceled,42808
Resort Hotel,1,219,42918,2017,July,27,2,2,5,7,2,0.0,0,HB,GBR,A,A,Transient,Canceled,42807
Resort Hotel,1,268,42918,2017,July,27,2,2,5,7,2,0.0,0,BB,GBR,E,E,Transient,Canceled,42653
Resort Hotel,1,177,42918,2017,July,27,2,2,5,7,2,2.0,0,BB,BEL,G,G,Transient,Canceled,42746
Resort Hotel,1,259,42918,2017,July,27,2,2,5,7,2,0.0,0,HB,PRT,E,E,Transient,Canceled,42659
Resort Hotel,1,280,42918,2017,July,27,2,2,5,7,2,2.0,0,BB,GBR,G,G,Transient,Canceled,42649
Resort Hotel,1,57,42918,2017,July,27,2,2,5,7,2,2.0,0,HB,ESP,G,G,Transient,Canceled,42861
Resort Hotel,1,174,42918,2017,July,27,2,2,5,7,2,2.0,0,BB,FRA,G,G,Transient,Canceled,42815
Resort Hotel,1,188,42918,2017,July,27,2,4,5,9,2,2.0,0,BB,PRT,G,G,Transient,Canceled,42865
Resort Hotel,1,320,42918,2017,July,27,2,4,7,11,2,0.0,0,HB,RUS,D,D,Transient,Canceled,42670
Resort Hotel,1,275,42918,2017,July,27,2,4,8,12,2,1.0,0,HB,PRT,A,A,Transient,Canceled,42752
Resort Hotel,1,179,42918,2017,July,27,2,4,8,12,2,0.0,0,BB,LTU,A,A,Transient,Canceled,42748
Resort Hotel,1,53,42918,2017,July,27,2,4,8,12,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42867
Resort Hotel,1,53,42918,2017,July,27,2,4,10,14,2,0.0,0,HB,PRT,D,D,Transient,Canceled,42894
Resort Hotel,1,133,42919,2017,July,27,3,1,1,2,2,0.0,0,BB,USA,A,A,Transient,Canceled,42863
Resort Hotel,1,102,42919,2017,July,27,3,1,3,4,2,2.0,0,HB,PRT,G,G,Transient,Canceled,42842
Resort Hotel,1,159,42919,2017,July,27,3,1,3,4,2,0.0,0,HB,PRT,A,A,Transient,Canceled,42871
Resort Hotel,1,103,42919,2017,July,27,3,1,3,4,2,0.0,0,BB,ESP,A,A,Transient,Canceled,42848
Resort Hotel,1,144,42919,2017,July,27,3,1,3,4,2,0.0,0,BB,PRT,A,A,Transient,Canceled,42775
Resort Hotel,1,178,42919,2017,July,27,3,1,5,6,2,0.0,0,HB,PRT,D,D,Transient,Canceled,42813
Resort Hotel,1,146,42919,2017,July,27,3,1,5,6,2,2.0,0,HB,ESP,C,C,Transient,Canceled,42782
Resort Hotel,1,150,42919,2017,July,27,3,2,5,7,2,2.0,0,HB,ROU,C,C,Transient,Canceled,42848
Resort Hotel,1,157,42919,2017,July,27,3,2,5,7,2,0.0,0,BB,PRT,C,C,Transient,Canceled,42762
Resort Hotel,1,171,42919,2017,July,27,3,2,5,7,2,0.0,0,HB,IRL,A,A,Transient,Canceled,42831
Resort Hotel,1,190,42919,2017,July,27,3,2,5,7,2,0.0,0,HB,PRT,A,A,Transient,Canceled,42907
Resort Hotel,1,169,42919,2017,July,27,3,2,5,7,2,1.0,0,HB,BEL,D,D,Transient,Canceled,42750
Resort Hotel,1,262,42919,2017,July,27,3,2,5,7,2,0.0,0,HB,CN,D,D,Transient,Canceled,42711
Resort Hotel,1,280,42919,2017,July,27,3,2,5,7,2,0.0,0,HB,PRT,D,D,Contract,Canceled,42793
Resort Hotel,1,54,42919,2017,July,27,3,2,5,7,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42867
Resort Hotel,1,186,42919,2017,July,27,3,2,5,7,3,1.0,0,HB,PRT,H,H,Transient,Canceled,42757
Resort Hotel,1,251,42919,2017,July,27,3,2,5,7,2,0.0,0,HB,PRT,A,A,Contract,Canceled,42858
Resort Hotel,1,262,42919,2017,July,27,3,2,5,7,2,0.0,0,HB,CN,D,D,Transient,Canceled,42711
Resort Hotel,1,177,42919,2017,July,27,3,2,5,7,2,0.0,0,BB,IRL,F,F,Transient-Party,Canceled,42759
Resort Hotel,1,171,42919,2017,July,27,3,2,5,7,2,2.0,0,BB,ESP,G,G,Transient,Canceled,42748
Resort Hotel,1,150,42919,2017,July,27,3,2,5,7,2,2.0,0,HB,ROU,G,G,Transient,Canceled,42785
Resort Hotel,1,280,42919,2017,July,27,3,2,5,7,2,0.0,0,HB,PRT,D,D,Contract,Canceled,42793
Resort Hotel,1,300,42919,2017,July,27,3,3,6,9,2,2.0,0,BB,PRT,C,C,Transient,Canceled,42620
Resort Hotel,1,47,42919,2017,July,27,3,3,6,9,2,0.0,0,BB,NLD,A,A,Transient,Canceled,42898
Resort Hotel,1,317,42919,2017,July,27,3,3,7,10,3,1.0,0,BB,NOR,H,H,Transient,Canceled,42611
Resort Hotel,1,347,42919,2017,July,27,3,3,7,10,2,1.0,0,HB,NOR,H,H,Transient,Canceled,42572
Resort Hotel,1,268,42919,2017,July,27,3,3,8,11,3,1.0,0,BB,NOR,H,H,Transient,Canceled,42651
Resort Hotel,1,277,42919,2017,July,27,3,4,10,14,2,2.0,0,HB,LUX,G,G,Transient,Canceled,42644
Resort Hotel,1,347,42919,2017,July,27,3,3,7,10,3,1.0,0,BB,NOR,H,H,Transient,Canceled,42601
Resort Hotel,1,269,42919,2017,July,27,3,3,7,10,3,1.0,0,BB,NOR,H,H,Transient,Canceled,42650
Resort Hotel,1,6,42920,2017,July,27,4,0,1,1,2,0.0,0,BB,PRT,A,A,Transient,Canceled,42915
Resort Hotel,1,320,42920,2017,July,27,4,0,3,3,2,0.0,0,BB,FRA,A,A,Transient,Canceled,42600
Resort Hotel,1,153,42920,2017,July,27,4,0,5,5,2,2.0,0,HB,ESP,G,G,Transient,Canceled,42768
Resort Hotel,1,237,42920,2017,July,27,4,2,5,7,2,0.0,0,HB,ESP,D,D,Transient,Canceled,42703
Resort Hotel,1,324,42920,2017,July,27,4,2,5,7,3,1.0,0,HB,IRL,H,H,Transient,Canceled,42598
Resort Hotel,1,315,42920,2017,July,27,4,2,5,7,2,2.0,0,BB,IRL,G,G,Transient,Canceled,42605
Resort Hotel,1,131,42920,2017,July,27,4,2,5,7,3,1.0,0,BB,PRT,H,H,Transient,Canceled,42797
Resort Hotel,1,55,42920,2017,July,27,4,2,5,7,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42867
Resort Hotel,1,271,42920,2017,July,27,4,2,5,7,2,0.0,0,BB,HUN,A,A,Transient,Canceled,42756
Resort Hotel,1,324,42920,2017,July,27,4,2,5,7,2,2.0,0,HB,IRL,G,G,Transient,Canceled,42855
Resort Hotel,1,236,42920,2017,July,27,4,2,5,7,3,1.0,0,BB,GBR,H,H,Transient,Canceled,42720
Resort Hotel,1,271,42920,2017,July,27,4,2,5,7,2,0.0,0,BB,HUN,A,A,Transient,Canceled,42756
Resort Hotel,1,217,42920,2017,July,27,4,2,5,7,2,0.0,0,HB,ESP,D,D,Transient,Canceled,42776
Resort Hotel,1,269,42920,2017,July,27,4,2,6,8,2,0.0,0,BB,PRT,A,A,Transient,Canceled,42651
Resort Hotel,1,270,42920,2017,July,27,4,2,6,8,2,0.0,0,BB,ROU,A,A,Transient,Canceled,42654
Resort Hotel,1,55,42920,2017,July,27,4,2,8,10,2,0.0,0,BB,PRT,E,E,Transient,Canceled,42867
Resort Hotel,1,55,42920,2017,July,27,4,2,8,10,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42867
Resort Hotel,1,55,42920,2017,July,27,4,2,8,10,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42867
Resort Hotel,1,335,42920,2017,July,27,4,4,10,14,2,2.0,0,BB,IRL,G,G,Transient,Canceled,42585
Resort Hotel,1,8,42921,2017,July,27,5,0,1,1,1,0.0,0,BB,PRT,A,A,Transient,Canceled,42920
Resort Hotel,1,8,42921,2017,July,27,5,0,1,1,1,0.0,0,BB,PRT,A,A,Transient,Canceled,42914
Resort Hotel,1,8,42921,2017,July,27,5,0,1,1,1,0.0,0,BB,PRT,A,A,Transient,Canceled,42920
Resort Hotel,1,345,42921,2017,July,27,5,0,3,3,2,0.0,0,BB,SWE,D,D,Transient,Canceled,42646
Resort Hotel,1,164,42921,2017,July,27,5,0,4,4,2,0.0,0,HB,ESP,A,A,Transient,Canceled,42810
Resort Hotel,1,14,42921,2017,July,27,5,1,4,5,2,0.0,0,BB,PRT,A,A,Transient,Canceled,42907
