row_id;order_id;order_date;ship_date;customer_id;segment;country;city;state;region;product_id;category;sub_category;sales;quantity;discount;profit
1;CA-2018-152156;08.11.2018;11.11.2018;CG-12520;Consumer;United States;Henderson;Kentucky;South;FUR-BO-10001798;Furniture;Bookcases;261,96;2;0;41,9136
2;CA-2018-152156;08.11.2018;11.11.2018;CG-12520;Consumer;United States;Henderson;Kentucky;South;FUR-CH-10000454;Furniture;Chairs;731,94;3;0;219,582
3;CA-2018-138688;12.06.2018;16.06.2018;DV-13045;Corporate;United States;Los Angeles;California;West;OFF-LA-10000240;Office Supplies;Labels;14,62;2;0;6,8714
4;US-2017-108966;11.10.2017;18.10.2017;SO-20335;Consumer;United States;Fort Lauderdale;Florida;South;FUR-TA-10000577;Furniture;Tables;957,5775;5;0,45;-383,031
5;US-2017-108966;11.10.2017;18.10.2017;SO-20335;Consumer;United States;Fort Lauderdale;Florida;South;OFF-ST-10000760;Office Supplies;Storage;22,368;2;0,2;2,5164
6;CA-2016-115812;09.06.2016;14.06.2016;BH-11710;Consumer;United States;Los Angeles;California;West;FUR-FU-10001487;Furniture;Furnishings;48,86;7;0;14,1694
7;CA-2016-115812;09.06.2016;14.06.2016;BH-11710;Consumer;United States;Los Angeles;California;West;OFF-AR-10002833;Office Supplies;Art;7,28;4;0;1,9656
8;CA-2016-115812;09.06.2016;14.06.2016;BH-11710;Consumer;United States;Los Angeles;California;West;TEC-PH-10002275;Technology;Phones;907,152;6;0,2;90,7152
9;CA-2016-115812;09.06.2016;14.06.2016;BH-11710;Consumer;United States;Los Angeles;California;West;OFF-BI-10003910;Office Supplies;Binders;18,504;3;0,2;5,7825
10;CA-2016-115812;09.06.2016;14.06.2016;BH-11710;Consumer;United States;Los Angeles;California;West;OFF-AP-10002892;Office Supplies;Appliances;114,9;5;0;34,47
11;CA-2016-115812;09.06.2016;14.06.2016;BH-11710;Consumer;United States;Los Angeles;California;West;FUR-TA-10001539;Furniture;Tables;1706,184;9;0,2;85,3092
12;CA-2016-115812;09.06.2016;14.06.2016;BH-11710;Consumer;United States;Los Angeles;California;West;TEC-PH-10002033;Technology;Phones;911,424;4;0,2;68,3568
13;CA-2019-114412;15.04.2019;20.04.2019;AA-10480;Consumer;United States;Concord;North Carolina;South;OFF-PA-10002365;Office Supplies;Paper;15,552;3;0,2;5,4432
14;CA-2018-161389;05.12.2018;10.12.2018;IM-15070;Consumer;United States;Seattle;Washington;West;OFF-BI-10003656;Office Supplies;Binders;407,976;3;0,2;132,5922
15;US-2017-118983;22.11.2017;26.11.2017;HP-14815;Home Office;United States;Fort Worth;Texas;Central;OFF-AP-10002311;Office Supplies;Appliances;68,81;5;0,8;-123,858
16;US-2017-118983;22.11.2017;26.11.2017;HP-14815;Home Office;United States;Fort Worth;Texas;Central;OFF-BI-10000756;Office Supplies;Binders;2,544;3;0,8;-3,816
17;CA-2016-105893;11.11.2016;18.11.2016;PK-19075;Consumer;United States;Madison;Wisconsin;Central;OFF-ST-10004186;Office Supplies;Storage;665,88;6;0;13,3176
18;CA-2016-167164;13.05.2016;15.05.2016;AG-10270;Consumer;United States;West Jordan;Utah;West;OFF-ST-10000107;Office Supplies;Storage;55,5;2;0;9,99
19;CA-2016-143336;27.08.2016;01.09.2016;ZD-21925;Consumer;United States;San Francisco;California;West;OFF-AR-10003056;Office Supplies;Art;8,56;2;0;2,4824
20;CA-2016-143336;27.08.2016;01.09.2016;ZD-21925;Consumer;United States;San Francisco;California;West;TEC-PH-10001949;Technology;Phones;213,48;3;0,2;16,011
21;CA-2016-143336;27.08.2016;01.09.2016;ZD-21925;Consumer;United States;San Francisco;California;West;OFF-BI-10002215;Office Supplies;Binders;22,72;4;0,2;7,384
22;CA-2018-137330;09.12.2018;13.12.2018;KB-16585;Corporate;United States;Fremont;Nebraska;Central;OFF-AR-10000246;Office Supplies;Art;19,46;7;0;5,0596
23;CA-2018-137330;09.12.2018;13.12.2018;KB-16585;Corporate;United States;Fremont;Nebraska;Central;OFF-AP-10001492;Office Supplies;Appliances;60,34;7;0;15,6884
24;US-2019-156909;16.07.2019;18.07.2019;SF-20065;Consumer;United States;Philadelphia;Pennsylvania;East;FUR-CH-10002774;Furniture;Chairs;71,372;2;0,3;-1,0196
25;CA-2017-106320;25.09.2017;30.09.2017;EB-13870;Consumer;United States;Orem;Utah;West;FUR-TA-10000577;Furniture;Tables;1044,63;3;0;240,2649
26;CA-2018-121755;16.01.2018;20.01.2018;EH-13945;Consumer;United States;Los Angeles;California;West;OFF-BI-10001634;Office Supplies;Binders;11,648;2;0,2;4,2224
27;CA-2018-121755;16.01.2018;20.01.2018;EH-13945;Consumer;United States;Los Angeles;California;West;TEC-AC-10003027;Technology;Accessories;90,57;3;0;11,7741
28;US-2017-150630;17.09.2017;21.09.2017;TB-21520;Consumer;United States;Philadelphia;Pennsylvania;East;FUR-BO-10004834;Furniture;Bookcases;3083,43;7;0,5;-1665,0522
29;US-2017-150630;17.09.2017;21.09.2017;TB-21520;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-BI-10000474;Office Supplies;Binders;9,618;2;0,7;-7,0532
30;US-2017-150630;17.09.2017;21.09.2017;TB-21520;Consumer;United States;Philadelphia;Pennsylvania;East;FUR-FU-10004848;Furniture;Furnishings;124,2;3;0,2;15,525
31;US-2017-150630;17.09.2017;21.09.2017;TB-21520;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-EN-10001509;Office Supplies;Envelopes;3,264;2;0,2;1,1016
32;US-2017-150630;17.09.2017;21.09.2017;TB-21520;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-AR-10004042;Office Supplies;Art;86,304;6;0,2;9,7092
33;US-2017-150630;17.09.2017;21.09.2017;TB-21520;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-BI-10001525;Office Supplies;Binders;6,858;6;0,7;-5,715
34;US-2017-150630;17.09.2017;21.09.2017;TB-21520;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-AR-10001683;Office Supplies;Art;15,76;2;0,2;3,546
35;CA-2019-107727;19.10.2019;23.10.2019;MA-17560;Home Office;United States;Houston;Texas;Central;OFF-PA-10000249;Office Supplies;Paper;29,472;3;0,2;9,9468
36;CA-2018-117590;08.12.2018;10.12.2018;GH-14485;Corporate;United States;Richardson;Texas;Central;TEC-PH-10004977;Technology;Phones;1097,544;7;0,2;123,4737
