row_id;order_id;order_date;ship_date;customer_id;segment;country;city;state;region;product_id;category;sub_category;sales;quantity;profit
1;CA-2018-152156;08.11.2018;11.11.2018;CG-12520;Consumer;United States;Henderson;Kentucky;South;FUR-BO-10001798;Furniture;Bookcases;262;2;42
2;CA-2018-152156;08.11.2018;11.11.2018;CG-12520;Consumer;United States;Henderson;Kentucky;South;FUR-CH-10000454;Furniture;Chairs;732;3;220
3;CA-2018-138688;12.06.2018;16.06.2018;DV-13045;Corporate;United States;Los Angeles;California;West;OFF-LA-10000240;Office Supplies;Labels;15;2;7
4;US-2017-108966;11.10.2017;18.10.2017;SO-20335;Consumer;United States;Fort Lauderdale;Florida;South;FUR-TA-10000577;Furniture;Tables;958;5;-383
5;US-2017-108966;11.10.2017;18.10.2017;SO-20335;Consumer;United States;Fort Lauderdale;Florida;South;OFF-ST-10000760;Office Supplies;Storage;22;2;3
6;CA-2016-115812;09.06.2016;14.06.2016;BH-11710;Consumer;United States;Los Angeles;California;West;FUR-FU-10001487;Furniture;Furnishings;49;7;14
7;CA-2016-115812;09.06.2016;14.06.2016;BH-11710;Consumer;United States;Los Angeles;California;West;OFF-AR-10002833;Office Supplies;Art;7;4;2
8;CA-2016-115812;09.06.2016;14.06.2016;BH-11710;Consumer;United States;Los Angeles;California;West;TEC-PH-10002275;Technology;Phones;907;6;91
9;CA-2016-115812;09.06.2016;14.06.2016;BH-11710;Consumer;United States;Los Angeles;California;West;OFF-BI-10003910;Office Supplies;Binders;19;3;6
10;CA-2016-115812;09.06.2016;14.06.2016;BH-11710;Consumer;United States;Los Angeles;California;West;OFF-AP-10002892;Office Supplies;Appliances;115;5;34
11;CA-2016-115812;09.06.2016;14.06.2016;BH-11710;Consumer;United States;Los Angeles;California;West;FUR-TA-10001539;Furniture;Tables;1706;9;85
12;CA-2016-115812;09.06.2016;14.06.2016;BH-11710;Consumer;United States;Los Angeles;California;West;TEC-PH-10002033;Technology;Phones;911;4;68
13;CA-2019-114412;15.04.2019;20.04.2019;AA-10480;Consumer;United States;Concord;North Carolina;South;OFF-PA-10002365;Office Supplies;Paper;16;3;5
14;CA-2018-161389;05.12.2018;10.12.2018;IM-15070;Consumer;United States;Seattle;Washington;West;OFF-BI-10003656;Office Supplies;Binders;408;3;133
15;US-2017-118983;22.11.2017;26.11.2017;HP-14815;Home Office;United States;Fort Worth;Texas;Central;OFF-AP-10002311;Office Supplies;Appliances;69;5;-124
16;US-2017-118983;22.11.2017;26.11.2017;HP-14815;Home Office;United States;Fort Worth;Texas;Central;OFF-BI-10000756;Office Supplies;Binders;3;3;-4
17;CA-2016-105893;11.11.2016;18.11.2016;PK-19075;Consumer;United States;Madison;Wisconsin;Central;OFF-ST-10004186;Office Supplies;Storage;666;6;13
18;CA-2016-167164;13.05.2016;15.05.2016;AG-10270;Consumer;United States;West Jordan;Utah;West;OFF-ST-10000107;Office Supplies;Storage;56;2;10
